"ACTION","REWARD","A0","A1","A2","V"
"2","-0.0002","-0.00623227","-0.0095352","0.0139943","-0.00929067"
"0","-0.0004","-0.0189753","-0.00323463","0.0166409","-0.0205956"
"2","-0.0006000000000000001","-0.00442278","-0.0051895","0.00817604","-0.0133404"
"0","-0.0008","-0.00546237","-0.00531177","0.0124153","-0.0243136"
"1","-0.001","-0.00322681","-0.00438813","0.0139294","-0.0232789"
"2","-0.0012000000000000001","-0.00353847","-0.00263802","0.0148591","-0.0270206"
"0","-0.0014000000000000002","-0.00147197","-0.00202332","0.0134943","-0.0282211"
"2","-0.0016000000000000003","0.0105702","-0.00133872","0.00908539","-0.0289625"
"2","-0.0018000000000000004","-0.00141397","0.00200229","0.0173525","-0.0350087"
"2","-0.0020000000000000005","0.00172663","-0.000323474","0.0181125","-0.036945"
"1","-0.0022000000000000006","0.00079416","0.00306277","0.0130682","-0.0412582"
"0","-0.0024000000000000007","-0.00189682","0.000409572","0.0166581","-0.042801"
"2","-0.0026000000000000007","-0.000883005","0.00338076","0.0125954","-0.0433496"
"0","-0.002800000000000001","-0.0012319","0.00225773","0.0139004","-0.0419438"
"1","-0.003000000000000001","-0.000641041","0.001914","0.0143273","-0.0438251"
"1","-0.003200000000000001","-0.000316882","0.00212327","0.0140764","-0.0436303"
"2","-0.003400000000000001","-4.59654e-05","0.00160239","0.0145725","-0.0447418"
"1","-0.003600000000000001","-5.16931e-05","0.00199689","0.014257","-0.0448849"
"2","-0.0038000000000000013","9.76948e-05","0.00180305","0.0143119","-0.0448547"
"2","-0.004000000000000001","0.000107822","0.00182433","0.014249","-0.0451036"
"1","-0.004200000000000001","0.000377712","0.00128303","0.0144152","-0.0447506"
"2","-0.0044","0.000220825","0.00155178","0.014193","-0.0449411"
"1","-0.0046","0.00032184","0.00128675","0.0143131","-0.0446722"
"1","-0.0048","0.000298979","0.00130405","0.0142792","-0.0448402"
"0","-0.004999999999999999","0.000294897","0.00125553","0.0142842","-0.0446799"
"1","-0.005199999999999999","0.000302188","0.0012345","0.0142697","-0.0447341"
"2","-0.0053999999999999986","0.000277538","0.00124692","0.0142528","-0.0446544"
"0","-0.005599999999999998","0.000285471","0.00122816","0.0142545","-0.0446336"
"1","-0.005799999999999998","0.000276101","0.00123508","0.0142483","-0.0446182"
"1","-0.0059999999999999975","0.000274612","0.00123094","0.0142481","-0.0446034"
"0","-0.006199999999999997","3.9005e-05","0.00172612","0.0140375","-0.0448787"
"2","-0.006399999999999997","0.000225221","0.001384","0.0142614","-0.0448159"
"1","-0.0065999999999999965","-0.000513981","0.000753951","0.0158527","-0.046849"
"2","-0.006799999999999996","0.00033094","0.00191237","0.013902","-0.0467458"
"0","-0.006999999999999996","0.0013329","0.00136199","0.0130129","-0.0447377"
"2","-0.0071999999999999955","-0.00154333","0.00175592","0.0152393","-0.0476967"
"0","-0.007399999999999995","0.00146092","0.00359273","0.0104154","-0.0434758"
"2","-0.007599999999999995","0.000119752","0.00134821","0.0131695","-0.0436824"
"2","-0.0077999999999999944","0.000773559","0.000735642","0.0133824","-0.0459767"
"0","-0.007999999999999995","0.00274557","0.00124806","0.01029","-0.0466376"
"0","-0.008199999999999995","-0.00166644","0.00177905","0.0134698","-0.0503159"
"0","-0.008399999999999996","-7.48206e-05","0.00342355","0.0110076","-0.0483585"
"0","-0.008599999999999997","-0.000460024","0.00328251","0.0116088","-0.0486206"
"1","-0.008799999999999997","-0.000367953","0.00294726","0.0123407","-0.0489378"
"0","-0.008999999999999998","1.09226e-05","0.00324385","0.011999","-0.0489482"
"0","-0.009199999999999998","0.00203722","0.00155925","0.0114135","-0.0486783"
"0","-0.009399999999999999","0.000472739","0.00209429","0.0115448","-0.049005"
"2","-0.0096","0.00114914","0.00139743","0.011407","-0.0489135"
"0","-0.0098","0.000879092","0.00187018","0.0108732","-0.0496844"
"2","-0.01","-0.000232478","0.000633572","0.0140578","-0.0493402"
"0","-0.0102","0.00426004","0.0023118","0.00798491","-0.0530148"
"2","-0.010400000000000001","-0.00257995","0.00358458","0.0119788","-0.0503887"
"0","-0.010600000000000002","0.00124052","0.00234341","0.0109849","-0.0500409"
"0","-0.010800000000000002","-0.00100075","0.00205589","0.0134897","-0.0511046"
"2","-0.011000000000000003","0.00052372","0.00215955","0.0125779","-0.0507033"
"0","-0.011200000000000003","0.000491764","0.00222831","0.0123989","-0.0503368"
"1","-0.011400000000000004","-0.000624175","0.00151104","0.0140916","-0.049838"
"0","-0.011600000000000004","0.000484997","0.0014076","0.0134143","-0.0491053"
"2","-0.011800000000000005","0.00134636","0.0018228","0.0119846","-0.0490678"
"0","-0.012000000000000005","9.77674e-05","0.00213196","0.0123552","-0.0482806"
"0","-0.012200000000000006","-0.000751533","0.00145269","0.0138084","-0.0475052"
"0","-0.012400000000000007","0.000322996","0.0010559","0.0135086","-0.0479468"
"0","-0.012600000000000007","0.000213487","0.00131256","0.0132768","-0.0481395"
"1","-0.012800000000000008","8.79637e-05","0.00144008","0.0132843","-0.0472435"
"1","-0.013000000000000008","0.000201542","0.00153261","0.0131268","-0.0467578"
"0","-0.013200000000000009","0.00088193","0.00202472","0.0119483","-0.0467649"
"0","-0.013400000000000009","0.000942228","0.00224733","0.0106183","-0.0473695"
"2","-0.01360000000000001","-1.26227e-05","0.0013704","0.0117415","-0.0477576"
"1","-0.01380000000000001","0.000206162","0.00163024","0.0111648","-0.0489724"
"1","-0.01400000000000001","0.000438806","0.00128155","0.0124196","-0.0496401"
"0","-0.014200000000000011","-0.000518449","0.00254245","0.0114329","-0.0504206"
"0","-0.014400000000000012","0.0016511","-0.00159721","0.0127051","-0.0501183"
"1","-0.014600000000000012","0.000127818","0.000831809","0.0104617","-0.0535587"
"0","-0.014800000000000013","-0.000288793","0.000751646","0.010075","-0.0496473"
